date,home_team,away_team,p_home_win,p_draw,p_away_win
2026-06-28,Algeria,Austria,0.21845142760893832,0.5318724952928555,0.24967607709820622
2026-06-28,Jordan,Argentina,0.011792214071901501,0.056193212083850606,0.9320145738442479
2026-06-28,South Africa,Canada,0.17256260553216654,0.26495131422750445,0.5624860802403291
2026-06-29,Brazil,Japan,0.5641289351491439,0.25166797177032035,0.18420309308053573
2026-06-29,Germany,Paraguay,0.7004830007702494,0.1880002750432381,0.1115167241865125
2026-06-30,Netherlands,Morocco,0.4490878146246151,0.29421176840066954,0.25670041697471546
2026-06-30,Ivory Coast,Norway,0.26418249121962095,0.27110517483699975,0.46471233394337935
2026-06-30,France,Sweden,0.744313089506047,0.16374078036387624,0.09194613013007681
2026-07-01,Mexico,Ecuador,0.439615520121239,0.30913818441018637,0.2512462954685746
2026-07-01,England,DR Congo,0.7334779358403637,0.1772907624239151,0.0892313017357213
2026-07-01,Belgium,Senegal,0.4565474750767702,0.2920549542316057,0.2513975706916241
2026-07-02,United States,Bosnia and Herzegovina,0.7010643964094466,0.1927697650868971,0.1061658385036563
2026-07-02,Portugal,Croatia,0.4985889649943636,0.2853977736711189,0.2160132613345175
2026-07-03,Australia,Egypt,0.2935504606813799,0.3229055067495179,0.3835440325691022
2026-07-03,Argentina,Cape Verde,0.8314916000595604,0.11980351531646913,0.048704884623970615
2026-07-04,Colombia,Ghana,0.5224273399464163,0.28232203805340794,0.19525062200017576
